titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates,,
BON VOYAGE,JEAN PAUL RAPPENEAU,2002-11-25,2002-11-25,EXTERIEUR,PONT,ALEXANDRE III,75008,PONT ALEXANDRE III 75008 Paris France,48.863669, 2.313547,
BON VOYAGE,JEAN PAUL RAPPENEAU,2002-08-15,2002-08-15,EXTERIEUR,RUE,DU BEAUJOLAIS,75001,RUE DU BEAUJOLAIS 75001 Paris France,48.866204, 2.338215,
BON VOYAGE,JEAN PAUL RAPPENEAU,2002-08-20,2002-08-20,EXTERIEUR,RUE,VIVIENNE,75001,RUE VIVIENNE 75001 Paris France,48.866224, 2.338621,
THE DREAMERS,BERNARDO BERTOLUCCI,2002-02-08,2002-02-08,EXTERIEUR,BOULEVARD,DELESSERT,75016,BOULEVARD DELESSERT 75016 Paris France,48.858939, 2.286563,
THE DREAMERS,BERNARDO BERTOLUCCI,2002-09-21,2002-09-21,EXTERIEUR,PLACE,RIO DE JANEIRO,75008,PLACE RIO DE JANEIRO 75008 Paris France,48.874167, 2.311111,
THE DREAMERS,BERNARDO BERTOLUCCI,2002-08-14,2002-08-14,EXTERIEUR,RUE,DE MESSINE,75008,RUE DE MESSINE 75008 Paris France,48.877143, 2.311356,
L'EAU...LE FEU,LUCIANO EMMER,2002-04-08,2002-04-08,EXTERIEUR,AVENUE,NEW YORK,75016,AVENUE NEW YORK 75016 Paris France,48.860897, 2.291779,
L'EAU...LE FEU,LUCIANO EMMER,2002-04-08,2002-04-08,EXTERIEUR,PONT,D'IENA,75016,PONT D'IENA 75016 Paris France,48.859703, 2.292223,
L'EAU...LE FEU,LUCIANO EMMER,2002-09-08,2002-09-08,EXTERIEUR,PONT,D'IENA,75016,PONT D'IENA 75016 Paris France,48.859703, 2.292223,
L'EAU...LE FEU,LUCIANO EMMER,2002-07-08,2002-07-08,EXTERIEUR,PONT,D'IENA,75016,PONT D'IENA 75016 Paris France,48.859703, 2.292223,
L'EAU...LE FEU,LUCIANO EMMER,2002-06-08,2002-06-08,EXTERIEUR,QUAI,DE VALMY,75010,QUAI DE VALMY 75010 Paris France,48.876123, 2.364043,
L'EAU...LE FEU,LUCIANO EMMER,2002-09-08,2002-09-08,EXTERIEUR,RUE,NORVINS,75018,RUE NORVINS 75018 Paris France,48.887025, 2.339565,
L'EAU...LE FEU,LUCIANO EMMER,2002-08-08,2002-08-08,EXTERIEUR,RUE,NORVINS,75018,RUE NORVINS 75018 Paris France,48.887025, 2.339565,
L'EAU...LE FEU,LUCIANO EMMER,2002-05-08,2002-05-08,EXTERIEUR,RUE,DU FAUBOURG DU TEMPLE,75011,RUE DU FAUBOURG DU TEMPLE   75011 Paris France,48.870763, 2.373493,
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-10-28,2002-10-28,EXTERIEUR,BOULEVARD,MONTMARTRE,75002,BOULEVARD MONTMARTRE   75002 Paris France,48.87152, 2.342055
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-10-23,2002-10-23,EXTERIEUR,PLACE,DU MARECHAL DE LATTRE DE TASSIGNY,75016,PLACE DU MARECHAL DE LATTRE DE TASSIGNY 75016 Paris France,48.871149, 2.275291
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-10-27,2002-10-27,EXTERIEUR,RUE,EDMOND MICHELET,75004,RUE EDMOND MICHELET 75004 Paris France,48.860057, 2.350035
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-10-16,2002-10-16,EXTERIEUR,RUE,DU FBG SAINT-HONORE ET ABORDS,75008,RUE DU FBG SAINT-HONORE ET ABORDS 75008 Paris France,48.874167, 2.311111
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-10-18,2002-10-18,EXTERIEUR,RUE,TILSITT,75017,RUE TILSITT   75017 Paris France,48.875201, 2.294338
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-03-08,2002-03-08,EXTERIEUR,RUE,JULES ROMAINS,75019,RUE JULES ROMAINS 75019 Paris France,48.873467, 2.377958
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-10-17,2002-10-17,EXTERIEUR,RUE,DU DOCTEUR GERMAIN SEE,75016,RUE DU DOCTEUR GERMAIN SEE   75016 Paris France,48.853705, 2.280051
JEUNES, BEAUX....MAIS DETRAQUES,IGOR SEKULIC,2002-10-23,2002-10-23,EXTERIEUR,RUE,DE BOULAINVILLIERS,75016,RUE DE BOULAINVILLIERS 75016 Paris France,48.854368, 2.275491
FILLES UNIQUES,PIERRE JOLIVET,2002-08-26,2002-08-26,EXTERIEUR,IMPASSE,DES JARDINIERS,75011,IMPASSE DES JARDINIERS 75011 Paris France,48.852222, 2.392283,
FILLES UNIQUES,PIERRE JOLIVET,2002-04-09,2002-04-09,EXTERIEUR,RUE,LACUEE,75012,RUE LACUEE 75012 Paris France,48.849445, 2.369936,
FILLES UNIQUES,PIERRE JOLIVET,2002-08-28,2002-08-28,EXTERIEUR,RUE,FAIDHERBE/RUE DE CHARONNE (ANGLE),75012,RUE FAIDHERBE/RUE DE CHARONNE (ANGLE) 75012 Paris France,48.840808, 2.388183,
FILLES UNIQUES,PIERRE JOLIVET,2002-10-09,2002-10-09,EXTERIEUR,RUE,JULES CESAR,75012,RUE JULES CESAR 75012 Paris France,48.848865, 2.368955,
FILLES UNIQUES,PIERRE JOLIVET,2002-04-09,2002-04-09,EXTERIEUR,RUE,BISCORNET,75012,RUE BISCORNET 75012 Paris France,48.850192, 2.369834,
FILLES UNIQUES,PIERRE JOLIVET,2002-10-09,2002-10-09,EXTERIEUR,RUE,DE LYON,75012,RUE DE LYON 75012 Paris France,48.84936, 2.370798,
